name,category,views,ingredients,method,garnish,image_url,url
Alexander,The unforgettables,193.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-alexander-669491364f7f2.webp,https://iba-world.com/iba-cocktail/alexander/
Americano,The unforgettables,304.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-americano-669490fe3cb42.webp,https://iba-world.com/iba-cocktail/americano/
Angel Face,The unforgettables,123.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-angel-face-669490fe6df67.webp,https://iba-world.com/iba-cocktail/angel-face/
Aviation,The unforgettables,273.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-aviation-66949102296a4.webp,https://iba-world.com/iba-cocktail/aviation/
Bee’s Knees,New Era,163.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-bees-knees-6695d397e26c1.webp,https://iba-world.com/iba-cocktail/bees-knees/
Bellini,Contemporary Classics,191.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bellini-6695cda4217da.webp,https://iba-world.com/iba-cocktail/bellini/
Between the Sheets,The unforgettables,120.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-between-the-sheets-669491023d7af.webp,https://iba-world.com/iba-cocktail/between-the-sheets/
Black Russian,Contemporary Classics,218.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-black-russian-6695cda4183dc.webp,https://iba-world.com/iba-cocktail/black-russian/
Bloody Mary,Contemporary Classics,147.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bloody-mary-6695cda72fe0f.webp,https://iba-world.com/iba-cocktail/bloody-mary/
Boulevardier,The unforgettables,272.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-boulevardier-6694910552acd.webp,https://iba-world.com/iba-cocktail/boulevardier/
Bramble,New Era,163.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-bramble-6695d398036e1.webp,https://iba-world.com/iba-cocktail/bramble/
Brandy Crusta,The unforgettables,143.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-brandy-crusta-6694910571bcb.webp,https://iba-world.com/iba-cocktail/brandy-crusta/
Caipirinha,Contemporary Classics,570.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-caipirinha-6695cda74b13a.webp,https://iba-world.com/iba-cocktail/caipirinha/
Canchanchara,New Era,141.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-canchanchara-6695d39b24d7e.webp,https://iba-world.com/iba-cocktail/canchanchara/
Cardinale,Contemporary Classics,86.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cardinale-6695cdaa5f0d8.webp,https://iba-world.com/iba-cocktail/cardinale/
Casino,The unforgettables,176.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-casino-6694910882cd6.webp,https://iba-world.com/iba-cocktail/casino/
Champagne Cocktail,Contemporary Classics,92.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-champagne-cocktail-6695cdaa71bb2.webp,https://iba-world.com/iba-cocktail/champagne-cocktail/
Chartreuse Swizzle,New Era,135.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-chartreuse-swizzle-6695d39b326e0.webp,https://iba-world.com/iba-cocktail/chartreuse-swizzle/
Clover Club,The unforgettables,137.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-clover-club-66949108a3e54.webp,https://iba-world.com/iba-cocktail/clover-club/
Corpse Reviver #2,Contemporary Classics,139.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-corpse-reviver-2-6695cdad6da15.webp,https://iba-world.com/iba-cocktail/corpse-reviver-2/
Cosmopolitan,Contemporary Classics,269.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cosmopolitan-6695cdae389dc.webp,https://iba-world.com/iba-cocktail/cosmopolitan/
Cuba Libre,Contemporary Classics,136.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cuba-libre-6695cdb0a6f80.webp,https://iba-world.com/iba-cocktail/cuba-libre/
Daiquiri,The unforgettables,181.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-daiquiri-6694910c5866e.webp,https://iba-world.com/iba-cocktail/daiquiri/
Dark ‘N’ Stormy,New Era,135.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-dark-n-stormy-6695d39e2bd94.webp,https://iba-world.com/iba-cocktail/dark-n-stormy/
Don’s Special Daiquiri,New Era,79.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-dons-special-daiquiri-6695d39e89fd7.webp,https://iba-world.com/iba-cocktail/dons-special-daiquiri/
Dry Martini,The unforgettables,301.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-dry-martini-6694910fb500c.webp,https://iba-world.com/iba-cocktail/dry-martini/
